gan_plant_8715,aptitud_forVII_lingue,bn_lingue_87,cul_prad_lingue_87,dem_lingue,dis_caminos_lingue,dis_comunidades_lingue,dis_hid_lingue,dis_plant87_lingue,dis_urbano_lingue,mat_lingue_87,pen_lingue15,pend_lingue,predios_lingue1,x,y
0,1,0,0,12,657.951355,3725.802002,30,30,14155.2002,1,1,1.317251682,1665,668113.6539,5629240
0,0,0,1,21,90,8842.267578,60,218.4032898,24050.06641,0,1,8.836393356,42,678016.3896,5638572.578
0,0,0,0,259,67.08203888,1368.210449,660,283.0194397,8565.197266,0,1,8.757494926,18,663072.2612,5632690.953
0,0,0,1,6,30,258.0697632,708.0254517,201.2461243,5342.527344,0,1,5.334462643,38,659441.2581,5631100.514
0,1,1,0,384,1072.054077,8141.67041,450,84.85281372,14301.72754,0,0,31.36055183,1590,667873.5876,5638542.57
0,1,0,0,210,2172.671143,2558.280762,2455.239258,228.4731903,7209.993164,1,0,51.30860138,28,661361.7887,5635691.782
0,1,1,0,590,3210,18882.23047,2344.802734,60,30146.65625,0,1,13.54913616,2494.65332,680627.1108,5648595.347
0,0,0,0,198,876.1849365,872.0665283,882.3264771,241.8677368,8020.330566,1,0,29.4781971,45,662412.0788,5631760.696
0,1,1,0,392,1323.064575,4659.957031,120,150,9312.234375,0,0,32.58700562,786,659741.341,5624798.773
0,0,1,0,426,2787.418213,6162.572754,445.9820557,123.6931686,12473.43555,0,0,19.58235359,1590,666733.2726,5635961.857
0,1,1,0,247,1537.920654,11933.25195,942.019104,42.42640686,29912.34766,0,1,3.725750446,34,683507.9067,5640823.2
0,1,0,1,6,1110.405273,2795.156494,600,30,15557.53809,0,1,3.951755047,160,668623.7948,5626599.27
0,0,1,0,5,690.6518555,1298.345093,1018.233765,60,19894.88672,0,1,2.124004602,638,673305.0881,5626629.279
0,0,0,0,224,715.6116333,3478.059814,1166.919067,30,14490,1,0,43.78747559,1109,669013.9026,5633411.152
0,1,0,1,172,1836.627319,3762.937744,1983.859863,84.85281372,13581.78516,0,0,19.11604118,156,666703.2643,5627139.42
0,1,1,0,173,1840.543457,11111.91211,1652.452759,134.1640778,17871.0625,0,0,33.73810577,1872,670004.1762,5642413.639
0,1,0,0,10,2712.802979,3235.69165,2817.126221,30,22023.45313,0,1,11.91366577,638,675555.7098,5626659.287
0,1,1,0,17,1242.014526,2518.571045,1410,60,21013.36719,0,0,15.1455307,98,674925.5357,5628159.702
0,1,1,0,610,234.3074951,3324.590088,603.7383423,216.3330841,7729.527832,0,1,14.24825573,786,657700.7773,5625368.931
0,1,0,1,76,90,2321.077393,870,84.85281372,2204.948975,0,0,33.4955101,99,654669.94,5630080.232
0,0,0,1,8,60,617.737793,1223.764648,201.2461243,18923.50977,0,1,4.600962162,437,672764.9389,5628159.702
0,1,0,0,92,134.1640778,5485.73584,570,30,21874.60938,1,0,19.44898796,1410,676365.9337,5634641.492
0,1,0,1,189,30,12155.48047,816.0882568,42.42640686,27066.13477,0,0,57.32391357,13,680237.0031,5641873.49
0,1,0,1,383,1513.439819,10644.37891,1540.55188,123.6931686,28606.63281,0,1,11.43811417,159.687973,682397.5999,5639862.935
0,1,1,0,586,3178.443115,17754.375,3057.351807,108.1665421,29007.39453,0,0,50.82611847,48,679906.9119,5647515.049
0,0,1,0,216,1209.338623,3530.580811,1618.054443,216.3330841,14162.57422,0,0,22.38552856,1109,668683.8114,5632931.02
