model_id,fom,variables,aic,null_aic,delta_aic,null_deviance,residual_dev,dev_explained,MCFaddenPseudoR2,spatial_auc,training_auc,test_auc,toc_auc
1,0.488093226,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1008.554234,1135.988787,-127.4345532,1122.878679,994.5542341,128.3244452,0.114281665,0.706314488,0.724834015,0.736787063,0.839341812
2,0.485694291,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1009.934717,1135.988787,-126.0540701,1122.878679,993.9347173,128.943962,0.114833387,0.707139927,0.725748532,0.737603306,0.835203689
3,0.486446612,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1010.205212,1135.988787,-125.7835759,1122.878679,994.2052115,128.6734678,0.114592494,0.705527508,0.723968272,0.737577798,0.83939014
4,0.48630259,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1010.358111,1135.988787,-125.6306762,1122.878679,994.3581112,128.5205682,0.114456326,0.704895247,0.724492595,0.73617488,0.845740165
5,0.48605178,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1010.495065,1135.988787,-125.4937225,1122.878679,994.4950649,128.3836144,0.114334359,0.705549693,0.724193853,0.73543516,0.825116776
6,0.490953213,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,pen_lingue15,predios_lingue1",1010.56162,1135.988787,-125.4271678,1122.878679,998.5616196,124.3170597,0.110712815,0.704684513,0.722017303,0.737858382,0.831311633
7,0.489603498,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,pen_lingue15,predios_lingue1",1011.154619,1135.988787,-124.8341689,1122.878679,997.1546185,125.7240608,0.111965846,0.706647687,0.723456143,0.740613203,0.825357524
8,0.487785954,"bn_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1011.405777,1135.988787,-124.5830099,1122.878679,999.4057775,123.4729019,0.109961035,0.709246363,0.721035721,0.743444546,0.9366481
9,0.486553484,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1011.513711,1135.988787,-124.4750759,1122.878679,993.5137115,129.3649679,0.115208321,0.70630495,0.725303467,0.739031731,0.835044577
10,0.489062432,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1011.622117,1135.988787,-124.3666707,1122.878679,997.6221167,125.2565626,0.111549507,0.703953474,0.720895495,0.738419549,0.832347694
11,0.484039084,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1011.657087,1135.988787,-124.3317008,1122.878679,993.6570866,129.2215927,0.115080636,0.705367255,0.72563879,0.736940108,0.842719782
12,0.485504009,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1011.925547,1135.988787,-124.0632408,1122.878679,993.9255466,128.9531327,0.114841554,0.70682386,0.725516855,0.737067646,0.82950147
13,0.485801055,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1011.998998,1135.988787,-123.9897894,1122.878679,993.998998,128.8796814,0.114776141,0.704125512,0.723882917,0.736327926,0.845915951
14,0.485081852,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1012.11762,1135.988787,-123.8711676,1122.878679,994.1176198,128.7610595,0.1146705,0.704569062,0.723407369,0.735664728,0.822216549
15,0.490443864,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_hid_lingue,pen_lingue15,predios_lingue1",1012.141566,1135.988787,-123.8472213,1122.878679,996.1415661,126.7371133,0.112868038,0.705837065,0.723620756,0.740205081,0.826504214
16,0.487865088,"mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1012.158416,1135.988787,-123.8303714,1122.878679,998.158416,124.7202633,0.111071895,0.702533039,0.721944141,0.736021835,0.840644018
17,0.489701492,"bn_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1012.284477,1135.988787,-123.7043101,1122.878679,998.2844773,124.594202,0.110959629,0.71055766,0.723925595,0.745485155,0.935703449
18,0.484474551,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1012.306392,1135.988787,-123.6823958,1122.878679,994.3063916,128.5722877,0.114502386,0.704213555,0.724114595,0.734440363,0.832597442
19,0.487488114,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,pen_lingue15,predios_lingue1",1012.475519,1135.988787,-123.5132687,1122.878679,998.4755187,124.4031607,0.110789494,0.703825776,0.721779528,0.736506479,0.81562973
20,0.491986998,"bn_lingue_87,cul_prad_lingue_87,dis_urbano_lingue,dis_caminos_lingue,pen_lingue15,predios_lingue1",1012.495265,1135.988787,-123.4935223,1122.878679,998.4952651,124.3834142,0.110771908,0.710452298,0.722047787,0.745281094,0.924669482
21,0.482872921,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1012.619472,1135.988787,-123.369315,1122.878679,996.6194724,126.259207,0.11244243,0.703895399,0.724023143,0.737934905,0.836187401
22,0.489328251,"bn_lingue_87,mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,pen_lingue15,predios_lingue1",1013.149624,1135.988787,-122.8391633,1122.878679,997.1496241,125.7290553,0.111970293,0.706445445,0.72348053,0.740205081,0.821508494
23,0.485137507,"mat_lingue_87,cul_prad_lingue_87,dis_comunidades_lingue,dis_urbano_lingue,dis_caminos_lingue,dis_hid_lingue,pen_lingue15,dis_plant87_lingue,predios_lingue1",1013.216812,1135.988787,-122.7719756,1122.878679,993.2168118,129.6618675,0.115472731,0.704512306,0.724736467,0.737679829,0.842781289
